No,公開日,分類,やりたいこと,アプリ・機能,方法,難しさ,目安時間,フォルダ
013,2026-09-04,Excel・日付,Excelで土日・祝日を除いた締切日を出したい,Excel,コピペ / 試して理解,はじめて,10分,samples/013-excel-business-day-deadline
014,2026-09-04,Excel・文字列,Excelで1つのセルの文字を列ごとに分けたい,Excel,コピペ / 試して理解,はじめて,10分,samples/014-excel-textsplit-name-address
015,2026-09-04,Excel・文字列,Excelで余計な空白や改行をまとめて消したい,Excel,コピペ / 試して理解,はじめて,10分,samples/015-excel-clean-spaces
016,2026-09-04,Excel・自動化,複数のExcelシートを1つの一覧にまとめたい,Excel / Power Query,GUI / 自動化 / 試して理解,ちょっと応用,20分,samples/016-excel-combine-sheets-powerquery
017,2026-09-04,Excel・安全確認,Excelで数式セルだけ誤って消さないようにしたい,Excel,GUI / 試して理解,はじめて,15分,samples/017-excel-protect-formulas
018,2026-09-04,Excel・日付,Excelで文字列の日付を本当の日付に直したい,Excel,GUI / コピペ / 試して理解,はじめて,10分,samples/018-excel-convert-text-date
019,2026-09-04,Excel・入力,Excelで入力候補をプルダウンから選びたい,Excel,GUI / 試して理解,はじめて,10分,samples/019-excel-dropdown-validation
020,2026-09-04,Excel・集計,Excelで条件に合う件数だけ数えたい,Excel,コピペ / 試して理解,はじめて,10分,samples/020-excel-countifs-status
021,2026-09-04,Excel・確認,Excelで期限切れの行だけ自動で目立たせたい,Excel,GUI / コピペ / 試して理解,ちょっと応用,15分,samples/021-excel-overdue-conditional-format
022,2026-09-04,PC・ネットワーク,今どのWi-Fiにつながっているか詳しく確認したい,Windows / PowerShell,GUI / コピペ / 試して理解,はじめて,10分,samples/022-windows-current-wifi
023,2026-09-04,ファイル・フォルダ,ファイルの場所を正確にコピーして相手へ伝えたい,Windows,GUI / 試して理解,はじめて,5分,samples/023-windows-copy-file-path
024,2026-09-04,ファイル・自動化,たくさんのファイル名の先頭に同じ文字を付けたい,Windows / PowerShell,コピペ / 自動化 / 試して理解,ちょっと応用,15分,samples/024-powershell-bulk-rename-prefix
025,2026-09-04,PC・状態確認,PCの空き容量を数字で確認したい,Windows / PowerShell,コピペ / 試して理解,はじめて,10分,samples/025-powershell-disk-free-space
026,2026-09-04,ファイル・状態確認,容量の大きいファイルを探したい,Windows / PowerShell,コピペ / 試して理解,ちょっと応用,15分,samples/026-powershell-find-large-files
027,2026-09-04,Word・表,Wordの長い表で見出し行を各ページに表示したい,Word,GUI / 試して理解,はじめて,10分,samples/027-word-repeat-table-header
028,2026-09-04,Word・確認,2つのWord文書の違いを確認したい,Word,GUI / 試して理解,はじめて,15分,samples/028-word-compare-documents
029,2026-09-04,Word・書式,Wordでバラバラになった書式をいったん揃えたい,Word,GUI / 試して理解,はじめて,10分,samples/029-word-clear-formatting
030,2026-09-04,PowerPoint・画像,PowerPointの複数画像を同じ大きさに揃えたい,PowerPoint,GUI / 試して理解,はじめて,15分,samples/030-powerpoint-crop-same-size
031,2026-09-04,PowerPoint・ファイル,PowerPointのファイルサイズを小さくしたい,PowerPoint,GUI / 試して理解,はじめて,10分,samples/031-powerpoint-compress-pictures
032,2026-09-04,Outlook・検索,Outlookで添付ファイル付きメールだけ探したい,Outlook,GUI / コピペ / 試して理解,はじめて,10分,samples/032-outlook-search-attachments
033,2026-09-04,Outlook・メール,Outlookでメールを指定した時刻に送信したい,Outlook,GUI / 試して理解,はじめて,10分,samples/033-outlook-schedule-send
034,2026-09-04,Outlook・メール,Outlookでよく使う返信文をすぐ呼び出したい,Outlook,GUI / 試して理解,はじめて,15分,samples/034-outlook-reuse-reply-text
035,2026-09-04,Teams・検索,Teamsで前に見たメッセージをすぐ探したい,Teams,GUI / 試して理解,はじめて,10分,samples/035-teams-search-past-messages
036,2026-09-04,OneDrive・安全確認,OneDriveで上書き前のファイルに戻したい,OneDrive / Microsoft 365,GUI / 試して理解,はじめて,10分,samples/036-onedrive-version-history
037,2026-09-04,SharePoint・安全確認,SharePointのファイルを誰と共有しているか確認したい,SharePoint / Microsoft 365,GUI / 試して理解,はじめて,10分,samples/037-sharepoint-check-sharing
038,2026-09-04,ネットワーク・自動化,複数のPCやサーバーへ順番にPingして結果をCSVにしたい,Windows / PowerShell / Excel,コピペ / 自動化 / 試して理解,ちょっと応用,20分,samples/038-powershell-ping-list-csv
039,2026-09-04,ファイル・状態確認,最近更新されたファイルだけ一覧で確認したい,Windows / PowerShell,コピペ / 試して理解,ちょっと応用,15分,samples/039-powershell-recent-files
040,2026-09-04,Excel・自動化,Excelの今見ているシートをPDFで保存したい,Excel / VBA,コピペ / 自動化 / 試して理解,ちょっと応用,20分,samples/040-excel-vba-export-sheet-pdf
041,2026-09-04,Power Automate・自動化,メール添付ファイルをOneDriveへ自動保存したい,Power Automate / Outlook / OneDrive,GUI / 自動化 / 試して理解,ちょっと応用,25分,samples/041-power-automate-save-attachments
042,2026-09-04,OS Fundamentals Lab,ウィンドウには番号がある？ HWNDを実際に見る,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/042-hwnd
043,2026-09-04,OS Fundamentals Lab,ウィンドウを動かして座標の変化をGetWindowRectで見る,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/043-window-rect
044,2026-09-04,OS Fundamentals Lab,WM_CLOSEと強制終了は何が違う？,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/044-wm-close
045,2026-09-04,OS Fundamentals Lab,WindowsのMessage Loopを小さなGUIで体験する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/045-message-loop
046,2026-09-04,OS Fundamentals Lab,UIスレッドを重い処理で止めると画面はなぜ固まる？,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/046-ui-thread-freeze
047,2026-09-04,OS Fundamentals Lab,VBAのDoEventsでWindows Messageが処理される様子を見る,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/047-doevents
048,2026-09-04,OS Fundamentals Lab,DoEvents中に同じボタンを押して再入問題を起こしてみる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/048-doevents-reentrancy
049,2026-09-04,OS Fundamentals Lab,Process ID（PID）は何のためにある？,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/049-process-id
050,2026-09-04,OS Fundamentals Lab,1つのプロセスに複数Threadがあることを観察する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/050-threads
051,2026-09-04,OS Fundamentals Lab,逐次実行と並列実行を時間で比べる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/051-sequential-parallel
052,2026-09-04,OS Fundamentals Lab,Concurrency・Parallelism・Asyncの違いを実験で比べる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/052-concurrency-parallel-async
053,2026-09-04,OS Fundamentals Lab,共有カウンターでRace Conditionを起こしてみる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/053-race-condition
054,2026-09-04,OS Fundamentals Lab,Mutexで2つのPowerShellを順番に動かす,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/054-mutex
055,2026-09-04,OS Fundamentals Lab,Semaphoreで同時実行数を2つに制限する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/055-semaphore
056,2026-09-04,OS Fundamentals Lab,Event Wait Handleで「合図が来るまで待つ」を体験する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/056-event-wait-handle
057,2026-09-04,OS Fundamentals Lab,Timerもイベント？ 1秒ごとのTickを記録する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/057-timer-event
058,2026-09-04,OS Fundamentals Lab,プロセス終了イベントを監視してみる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/058-process-exit-event
059,2026-09-04,OS Fundamentals Lab,ファイルを開くとHandleが使われることを確認する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/059-handle-count
060,2026-09-04,OS Fundamentals Lab,File Lockをかけたまま別プロセスから開いてみる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/060-file-lock
061,2026-09-04,OS Fundamentals Lab,Named Pipeで2つのPowerShellを会話させる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/061-named-pipe
062,2026-09-04,OS Fundamentals Lab,Named PipeとTCP Socketの違いを同じ文字列送信で比べる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/062-pipe-vs-tcp
063,2026-09-04,OS Fundamentals Lab,環境変数PATH・TEMPはどこから見える？,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/063-environment-variables
064,2026-09-04,OS Fundamentals Lab,Registryを読み取り専用で観察する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/064-registry-read
065,2026-09-04,OS Fundamentals Lab,Windows ServiceのRunning・Stoppedを一覧で見る,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/065-windows-service
066,2026-09-04,OS Fundamentals Lab,Windows Event Logから自分の操作に近いイベントを探す,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/066-event-log
067,2026-09-04,OS Fundamentals Lab,Physical MemoryとVirtual Memoryの違いを数字で見る,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/067-physical-virtual-memory
068,2026-09-04,OS Fundamentals Lab,Working Setはアプリのメモリ量と同じなのか？,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/068-working-set
069,2026-09-04,OS Fundamentals Lab,.NETのGarbage Collection前後でメモリ表示を比べる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/069-garbage-collection
070,2026-09-04,OS Fundamentals Lab,Process Priorityを観察してOSの優先度という考え方を知る,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/070-process-priority
071,2026-09-04,OS Fundamentals Lab,CPU負荷をかけてOS Schedulerの仕事を観察する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/071-scheduler
072,2026-09-04,OS Fundamentals Lab,親Processと子Processの関係をツリーで見る,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/072-parent-child-process
073,2026-09-04,OS Fundamentals Lab,標準入力・標準出力・標準エラーをリダイレクトしてみる,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/073-stdio-redirection
074,2026-09-04,OS Fundamentals Lab,Exit Code 0と1を自作スクリプトで体験する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/074-exit-code
075,2026-09-04,OS Fundamentals Lab,Current DirectoryとScript Directoryの違いを確認する,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/075-current-vs-script-directory
076,2026-09-04,OS Fundamentals Lab,Foreground Windowが切り替わるたびにHWNDとタイトルを見る,PowerShell / VBA / Win32 / .NET,コピペ / 試して理解 / トレース,深掘り,15分,samples/076-hwnd
077,2026-09-04,Windows & Device Trace Lab,USBデバイスを一覧表示して何がつながっているか見る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/077-usb-devices
078,2026-09-04,Windows & Device Trace Lab,USBを抜き差ししてDevice一覧の差分を取る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/078-usb-diff
079,2026-09-04,Windows & Device Trace Lab,USBメモリを挿すとDrive情報がどう増えるか見る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/079-usb-drive-diff
080,2026-09-04,Windows & Device Trace Lab,PnP DeviceのStatusを一覧で確認する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/080-pnp-status
081,2026-09-04,Windows & Device Trace Lab,Device Instance IDって何？ 実物を見てみる,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/081-device-instance-id
082,2026-09-04,Windows & Device Trace Lab,BluetoothデバイスをWindowsから列挙する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/082-bluetooth-devices
083,2026-09-04,Windows & Device Trace Lab,BluetoothのPairedとConnectedの違いを見る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/083-bluetooth-paired-connected
084,2026-09-04,Windows & Device Trace Lab,BLE Advertisementを自分の周囲で観察する入門,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/084-ble-advertisement
085,2026-09-04,Windows & Device Trace Lab,バッテリー残量・充電状態をリアルタイム表示する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/085-battery-status
086,2026-09-04,Windows & Device Trace Lab,ACアダプターを抜き差ししてPower状態の差分を見る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/086-ac-power-state
087,2026-09-04,Windows & Device Trace Lab,CPU使用率を1秒ごとに表示して負荷の変化を見る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/087-cpu-usage
088,2026-09-04,Windows & Device Trace Lab,メモリ使用量をアプリ起動前後で比較する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/088-memory-usage
089,2026-09-04,Windows & Device Trace Lab,Disk I/Oの読み書き量を処理前後で観察する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/089-disk-io
090,2026-09-04,Windows & Device Trace Lab,ネットワークアダプターごとの送受信バイトを追跡する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/090-network-bytes
091,2026-09-04,Windows & Device Trace Lab,ディスプレイの解像度をPowerShellから取得する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/091-display-resolution
092,2026-09-04,Windows & Device Trace Lab,マルチディスプレイの座標と負の座標を見てみる,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/092-multi-display-coordinates
093,2026-09-04,Windows & Device Trace Lab,DPIと拡大率150%で座標がどう見えるか確認する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/093-dpi-scaling
094,2026-09-04,Windows & Device Trace Lab,マウスカーソルのX・Y座標をリアルタイム表示する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/094-mouse-coordinates
095,2026-09-04,Windows & Device Trace Lab,アクティブウィンドウのタイトルと位置を追跡する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/095-active-window
096,2026-09-04,Windows & Device Trace Lab,自作GUIのKeyDown・KeyUpイベントだけをトレースする,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/096-keyboard-events
097,2026-09-04,Windows & Device Trace Lab,自作GUIのMouseDown・MouseUp・Clickの順序を見る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/097-mouse-events
098,2026-09-04,Windows & Device Trace Lab,Clipboardに入っているデータ形式を調べる,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/098-clipboard-formats
099,2026-09-04,Windows & Device Trace Lab,現在の音声出力デバイスを確認する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/099-audio-output
100,2026-09-04,Windows & Device Trace Lab,音声出力先を切り替えてデバイス情報の差分を見る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/100-audio-output-diff
101,2026-09-04,Windows & Device Trace Lab,カメラデバイスがWindowsからどう見えているか確認する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/101-camera-devices
102,2026-09-04,Windows & Device Trace Lab,マイクデバイスの存在と状態だけを確認する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/102-microphone-devices
103,2026-09-04,Windows & Device Trace Lab,プリンター一覧とDefault Printerを確認する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/103-printers
104,2026-09-04,Windows & Device Trace Lab,Power Planの現在状態を読み取る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/104-power-plan
105,2026-09-04,Windows & Device Trace Lab,PCの起動時間とUptimeを表示する,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/105-uptime
106,2026-09-04,Windows & Device Trace Lab,画面の一部をキャプチャして座標とピクセルの関係を見る,PowerShell / WinRT / CIM / Windows API,コピペ / 試して理解 / トレース,深掘り,15分,samples/106-screen-capture
107,2026-09-04,Network & Wireless Lab,Wi-FiのSSID・BSSID・Channelを同時に見る,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/107-wifi-interface
108,2026-09-04,Network & Wireless Lab,Wi-Fi信号強度をリアルタイムの棒グラフで表示する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/108-wifi-signal
109,2026-09-04,Network & Wireless Lab,2.4GHz・5GHz・6GHzの接続情報を比べる,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/109-wifi-bands
110,2026-09-04,Network & Wireless Lab,周囲のWi-Fi Channelを一覧にして混雑を可視化する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/110-wifi-channels
111,2026-09-04,Network & Wireless Lab,同じSSIDでBSSIDが変わるローミングを記録する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/111-wifi-roaming
112,2026-09-04,Network & Wireless Lab,WindowsにあるNetwork Adapterを全部並べる,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/112-network-adapters
113,2026-09-04,Network & Wireless Lab,Link Speedは実効速度と同じ？ まず値を確認する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/113-link-speed
114,2026-09-04,Network & Wireless Lab,IPv4アドレスとIPv6アドレスを並べて見る,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/114-ip-addresses
115,2026-09-04,Network & Wireless Lab,Route Tableを読んでパケットの行き先を考える,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/115-route-table
116,2026-09-04,Network & Wireless Lab,Default Gatewayは何をしている？ 設定値から確認する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/116-default-gateway
117,2026-09-04,Network & Wireless Lab,ARP／Neighbor Cacheを見て同一LANの相手を理解する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/117-neighbor-cache
118,2026-09-04,Network & Wireless Lab,DNS名前解決で名前がIPアドレスになる流れを見る,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/118-dns-resolution
119,2026-09-04,Network & Wireless Lab,DNS Cacheを名前解決の前後で比較する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/119-dns-cache
120,2026-09-04,Network & Wireless Lab,DHCPでもらったIP・Gateway・DNS情報を確認する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/120-dhcp-info
121,2026-09-04,Network & Wireless Lab,localhostへPingしてLoopbackを体験する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/121-loopback-ping
122,2026-09-04,Network & Wireless Lab,自分で用意したホストへTracerouteして経路を見る,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/122-traceroute
123,2026-09-04,Network & Wireless Lab,TCP接続のESTABLISHED・LISTENなどの状態を見る,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/123-tcp-states
124,2026-09-04,Network & Wireless Lab,自分のPCでListening Portを一覧表示する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/124-listening-ports
125,2026-09-04,Network & Wireless Lab,PowerShellだけでlocalhost簡易HTTPサーバーを動かす,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/125-local-http-server
126,2026-09-04,Network & Wireless Lab,TCPとUDPで同じ文字列を送って違いを見る,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/126-tcp-vs-udp
127,2026-09-04,Network & Wireless Lab,localhostでHTTPとHTTPSの通信手順の違いを追う,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/127-http-vs-https
128,2026-09-04,Network & Wireless Lab,127.0.0.1とlocalhostと::1の違いを試す,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/128-loopback-addresses
129,2026-09-04,Network & Wireless Lab,保存済みWi-Fi Profileの名前だけを一覧にする,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/129-wifi-profiles
130,2026-09-04,Network & Wireless Lab,MTUを変えずにサイズ違いPingで断片化の概念を学ぶ,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/130-mtu-probe
131,2026-09-04,Network & Wireless Lab,Latency・Packet Loss・Jitterを自分の通信で記録する,PowerShell / netsh / .NET / WinRT,コピペ / 試して理解 / トレース,深掘り,15分,samples/131-latency-loss-jitter
132,2026-09-04,Visual Security Lab,1文字変えるとSHA-256はどれだけ変わる？ Avalanche Effectを見る,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/132-sha256-avalanche
133,2026-09-04,Visual Security Lab,Base64は暗号化ではないことをEncode→Decodeで確認する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/133-base64-not-encryption
134,2026-09-04,Visual Security Lab,AESで暗号化してから復号して元に戻ることを確かめる,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/134-aes-roundtrip
135,2026-09-04,Visual Security Lab,HMACで1文字の改ざんを検知してみる,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/135-hmac-tamper
136,2026-09-04,Visual Security Lab,電子署名した文書を1文字変えて検証NGにしてみる,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/136-digital-signature
137,2026-09-04,Visual Security Lab,同じパスワードでもSaltを変えるとHashが変わることを見る,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/137-password-salt
138,2026-09-04,Visual Security Lab,PBKDF2の反復回数を増やすと処理時間がどう変わる？,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/138-pbkdf2-iterations
139,2026-09-04,Visual Security Lab,乱数と単純な連番を並べて予測しやすさを考える,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/139-random-vs-sequence
140,2026-09-04,Visual Security Lab,ランダムなバイト列をヒストグラムで眺める,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/140-random-histogram
141,2026-09-04,Visual Security Lab,HTTPSサイトのTLS証明書をPowerShellで見る,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/141-tls-certificate
142,2026-09-04,Visual Security Lab,Root CA→Intermediate CA→Server Certificateの鎖をたどる,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/142-certificate-chain
143,2026-09-04,Visual Security Lab,証明書の有効期限を一覧にして期限切れを理解する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/143-certificate-expiry
144,2026-09-04,Visual Security Lab,localhostでHTTPとHTTPSの見える情報の違いを比べる,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/144-local-http-https
145,2026-09-04,Visual Security Lab,ダウンロード前後のファイルHashで完全性を確認する,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/145-file-integrity-hash
146,2026-09-04,Visual Security Lab,AllowlistとDenylistを小さな文字列判定で比べる,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/146-allowlist-denylist
147,2026-09-04,Visual Security Lab,管理者権限と標準ユーザー権限の違いを状態表示で見る,PowerShell / .NET Cryptography / Windows Security,コピペ / 試して理解 / トレース,深掘り,15分,samples/147-admin-standard-user
