No,Status,Track,Title,PrimaryTech,Experience,Level
052,implemented-experimental,OS Fundamentals Lab,Concurrency・Parallelism・Asyncの違いを実験で比べる,PowerShell / VBA / Win32 / .NET,短い実験で「Concurrency・Parallelism・Asyncの違いを実験で比べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
053,implemented-experimental,OS Fundamentals Lab,共有カウンターでRace Conditionを起こしてみる,PowerShell / VBA / Win32 / .NET,短い実験で「共有カウンターでRace Conditionを起こしてみる」を体験し、操作前後の状態やログの差を確認する。,深掘り
054,implemented-experimental,OS Fundamentals Lab,Mutexで2つのPowerShellを順番に動かす,PowerShell / VBA / Win32 / .NET,短い実験で「Mutexで2つのPowerShellを順番に動かす」を体験し、操作前後の状態やログの差を確認する。,深掘り
055,implemented-experimental,OS Fundamentals Lab,Semaphoreで同時実行数を2つに制限する,PowerShell / VBA / Win32 / .NET,短い実験で「Semaphoreで同時実行数を2つに制限する」を体験し、操作前後の状態やログの差を確認する。,深掘り
056,implemented-experimental,OS Fundamentals Lab,Event Wait Handleで「合図が来るまで待つ」を体験する,PowerShell / VBA / Win32 / .NET,短い実験で「Event Wait Handleで「合図が来るまで待つ」を体験する」を体験し、操作前後の状態やログの差を確認する。,深掘り
057,implemented-experimental,OS Fundamentals Lab,Timerもイベント？ 1秒ごとのTickを記録する,PowerShell / VBA / Win32 / .NET,短い実験で「Timerもイベント？ 1秒ごとのTickを記録する」を体験し、操作前後の状態やログの差を確認する。,深掘り
058,implemented-experimental,OS Fundamentals Lab,プロセス終了イベントを監視してみる,PowerShell / VBA / Win32 / .NET,短い実験で「プロセス終了イベントを監視してみる」を体験し、操作前後の状態やログの差を確認する。,深掘り
059,implemented-experimental,OS Fundamentals Lab,ファイルを開くとHandleが使われることを確認する,PowerShell / VBA / Win32 / .NET,短い実験で「ファイルを開くとHandleが使われることを確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
060,implemented-experimental,OS Fundamentals Lab,File Lockをかけたまま別プロセスから開いてみる,PowerShell / VBA / Win32 / .NET,短い実験で「File Lockをかけたまま別プロセスから開いてみる」を体験し、操作前後の状態やログの差を確認する。,深掘り
061,implemented-experimental,OS Fundamentals Lab,Named Pipeで2つのPowerShellを会話させる,PowerShell / VBA / Win32 / .NET,短い実験で「Named Pipeで2つのPowerShellを会話させる」を体験し、操作前後の状態やログの差を確認する。,深掘り
062,implemented-experimental,OS Fundamentals Lab,Named PipeとTCP Socketの違いを同じ文字列送信で比べる,PowerShell / VBA / Win32 / .NET,短い実験で「Named PipeとTCP Socketの違いを同じ文字列送信で比べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
063,implemented-experimental,OS Fundamentals Lab,環境変数PATH・TEMPはどこから見える？,PowerShell / VBA / Win32 / .NET,短い実験で「環境変数PATH・TEMPはどこから見える」を体験し、操作前後の状態やログの差を確認する。,深掘り
064,implemented-experimental,OS Fundamentals Lab,Registryを読み取り専用で観察する,PowerShell / VBA / Win32 / .NET,短い実験で「Registryを読み取り専用で観察する」を体験し、操作前後の状態やログの差を確認する。,深掘り
065,implemented-experimental,OS Fundamentals Lab,Windows ServiceのRunning・Stoppedを一覧で見る,PowerShell / VBA / Win32 / .NET,短い実験で「Windows ServiceのRunning・Stoppedを一覧で見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
066,implemented-experimental,OS Fundamentals Lab,Windows Event Logから自分の操作に近いイベントを探す,PowerShell / VBA / Win32 / .NET,短い実験で「Windows Event Logから自分の操作に近いイベントを探す」を体験し、操作前後の状態やログの差を確認する。,深掘り
067,implemented-experimental,OS Fundamentals Lab,Physical MemoryとVirtual Memoryの違いを数字で見る,PowerShell / VBA / Win32 / .NET,短い実験で「Physical MemoryとVirtual Memoryの違いを数字で見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
068,implemented-experimental,OS Fundamentals Lab,Working Setはアプリのメモリ量と同じなのか？,PowerShell / VBA / Win32 / .NET,短い実験で「Working Setはアプリのメモリ量と同じなのか」を体験し、操作前後の状態やログの差を確認する。,深掘り
069,implemented-experimental,OS Fundamentals Lab,.NETのGarbage Collection前後でメモリ表示を比べる,PowerShell / VBA / Win32 / .NET,短い実験で「.NETのGarbage Collection前後でメモリ表示を比べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
070,implemented-experimental,OS Fundamentals Lab,Process Priorityを観察してOSの優先度という考え方を知る,PowerShell / VBA / Win32 / .NET,短い実験で「Process Priorityを観察してOSの優先度という考え方を知る」を体験し、操作前後の状態やログの差を確認する。,深掘り
071,implemented-experimental,OS Fundamentals Lab,CPU負荷をかけてOS Schedulerの仕事を観察する,PowerShell / VBA / Win32 / .NET,短い実験で「CPU負荷をかけてOS Schedulerの仕事を観察する」を体験し、操作前後の状態やログの差を確認する。,深掘り
072,implemented-experimental,OS Fundamentals Lab,親Processと子Processの関係をツリーで見る,PowerShell / VBA / Win32 / .NET,短い実験で「親Processと子Processの関係をツリーで見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
073,implemented-experimental,OS Fundamentals Lab,標準入力・標準出力・標準エラーをリダイレクトしてみる,PowerShell / VBA / Win32 / .NET,短い実験で「標準入力・標準出力・標準エラーをリダイレクトしてみる」を体験し、操作前後の状態やログの差を確認する。,深掘り
074,implemented-experimental,OS Fundamentals Lab,Exit Code 0と1を自作スクリプトで体験する,PowerShell / VBA / Win32 / .NET,短い実験で「Exit Code 0と1を自作スクリプトで体験する」を体験し、操作前後の状態やログの差を確認する。,深掘り
075,implemented-experimental,OS Fundamentals Lab,Current DirectoryとScript Directoryの違いを確認する,PowerShell / VBA / Win32 / .NET,短い実験で「Current DirectoryとScript Directoryの違いを確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
076,implemented-experimental,OS Fundamentals Lab,Foreground Windowが切り替わるたびにHWNDとタイトルを見る,PowerShell / VBA / Win32 / .NET,短い実験で「Foreground Windowが切り替わるたびにHWNDとタイトルを見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
077,implemented-experimental,Windows & Device Trace Lab,USBデバイスを一覧表示して何がつながっているか見る,PowerShell / WinRT / CIM / Windows API,短い実験で「USBデバイスを一覧表示して何がつながっているか見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
078,implemented-experimental,Windows & Device Trace Lab,USBを抜き差ししてDevice一覧の差分を取る,PowerShell / WinRT / CIM / Windows API,短い実験で「USBを抜き差ししてDevice一覧の差分を取る」を体験し、操作前後の状態やログの差を確認する。,深掘り
079,implemented-experimental,Windows & Device Trace Lab,USBメモリを挿すとDrive情報がどう増えるか見る,PowerShell / WinRT / CIM / Windows API,短い実験で「USBメモリを挿すとDrive情報がどう増えるか見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
080,implemented-experimental,Windows & Device Trace Lab,PnP DeviceのStatusを一覧で確認する,PowerShell / WinRT / CIM / Windows API,短い実験で「PnP DeviceのStatusを一覧で確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
081,implemented-experimental,Windows & Device Trace Lab,Device Instance IDって何？ 実物を見てみる,PowerShell / WinRT / CIM / Windows API,短い実験で「Device Instance IDって何？ 実物を見てみる」を体験し、操作前後の状態やログの差を確認する。,深掘り
082,implemented-experimental,Windows & Device Trace Lab,BluetoothデバイスをWindowsから列挙する,PowerShell / WinRT / CIM / Windows API,短い実験で「BluetoothデバイスをWindowsから列挙する」を体験し、操作前後の状態やログの差を確認する。,深掘り
083,implemented-experimental,Windows & Device Trace Lab,BluetoothのPairedとConnectedの違いを見る,PowerShell / WinRT / CIM / Windows API,短い実験で「BluetoothのPairedとConnectedの違いを見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
084,implemented-experimental,Windows & Device Trace Lab,BLE Advertisementを自分の周囲で観察する入門,PowerShell / WinRT / CIM / Windows API,短い実験で「BLE Advertisementを自分の周囲で観察する入門」を体験し、操作前後の状態やログの差を確認する。,深掘り
085,implemented-experimental,Windows & Device Trace Lab,バッテリー残量・充電状態をリアルタイム表示する,PowerShell / WinRT / CIM / Windows API,短い実験で「バッテリー残量・充電状態をリアルタイム表示する」を体験し、操作前後の状態やログの差を確認する。,深掘り
086,implemented-experimental,Windows & Device Trace Lab,ACアダプターを抜き差ししてPower状態の差分を見る,PowerShell / WinRT / CIM / Windows API,短い実験で「ACアダプターを抜き差ししてPower状態の差分を見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
087,implemented-experimental,Windows & Device Trace Lab,CPU使用率を1秒ごとに表示して負荷の変化を見る,PowerShell / WinRT / CIM / Windows API,短い実験で「CPU使用率を1秒ごとに表示して負荷の変化を見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
088,implemented-experimental,Windows & Device Trace Lab,メモリ使用量をアプリ起動前後で比較する,PowerShell / WinRT / CIM / Windows API,短い実験で「メモリ使用量をアプリ起動前後で比較する」を体験し、操作前後の状態やログの差を確認する。,深掘り
089,implemented-experimental,Windows & Device Trace Lab,Disk I/Oの読み書き量を処理前後で観察する,PowerShell / WinRT / CIM / Windows API,短い実験で「Disk I/Oの読み書き量を処理前後で観察する」を体験し、操作前後の状態やログの差を確認する。,深掘り
090,implemented-experimental,Windows & Device Trace Lab,ネットワークアダプターごとの送受信バイトを追跡する,PowerShell / WinRT / CIM / Windows API,短い実験で「ネットワークアダプターごとの送受信バイトを追跡する」を体験し、操作前後の状態やログの差を確認する。,深掘り
091,implemented-experimental,Windows & Device Trace Lab,ディスプレイの解像度をPowerShellから取得する,PowerShell / WinRT / CIM / Windows API,短い実験で「ディスプレイの解像度をPowerShellから取得する」を体験し、操作前後の状態やログの差を確認する。,深掘り
092,implemented-experimental,Windows & Device Trace Lab,マルチディスプレイの座標と負の座標を見てみる,PowerShell / WinRT / CIM / Windows API,短い実験で「マルチディスプレイの座標と負の座標を見てみる」を体験し、操作前後の状態やログの差を確認する。,深掘り
093,implemented-experimental,Windows & Device Trace Lab,DPIと拡大率150%で座標がどう見えるか確認する,PowerShell / WinRT / CIM / Windows API,短い実験で「DPIと拡大率150%で座標がどう見えるか確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
094,implemented-experimental,Windows & Device Trace Lab,マウスカーソルのX・Y座標をリアルタイム表示する,PowerShell / WinRT / CIM / Windows API,短い実験で「マウスカーソルのX・Y座標をリアルタイム表示する」を体験し、操作前後の状態やログの差を確認する。,深掘り
095,implemented-experimental,Windows & Device Trace Lab,アクティブウィンドウのタイトルと位置を追跡する,PowerShell / WinRT / CIM / Windows API,短い実験で「アクティブウィンドウのタイトルと位置を追跡する」を体験し、操作前後の状態やログの差を確認する。,深掘り
096,implemented-experimental,Windows & Device Trace Lab,自作GUIのKeyDown・KeyUpイベントだけをトレースする,PowerShell / WinRT / CIM / Windows API,短い実験で「自作GUIのKeyDown・KeyUpイベントだけをトレースする」を体験し、操作前後の状態やログの差を確認する。,深掘り
097,implemented-experimental,Windows & Device Trace Lab,自作GUIのMouseDown・MouseUp・Clickの順序を見る,PowerShell / WinRT / CIM / Windows API,短い実験で「自作GUIのMouseDown・MouseUp・Clickの順序を見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
098,implemented-experimental,Windows & Device Trace Lab,Clipboardに入っているデータ形式を調べる,PowerShell / WinRT / CIM / Windows API,短い実験で「Clipboardに入っているデータ形式を調べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
099,implemented-experimental,Windows & Device Trace Lab,現在の音声出力デバイスを確認する,PowerShell / WinRT / CIM / Windows API,短い実験で「現在の音声出力デバイスを確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
100,implemented-experimental,Windows & Device Trace Lab,音声出力先を切り替えてデバイス情報の差分を見る,PowerShell / WinRT / CIM / Windows API,短い実験で「音声出力先を切り替えてデバイス情報の差分を見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
101,implemented-experimental,Windows & Device Trace Lab,カメラデバイスがWindowsからどう見えているか確認する,PowerShell / WinRT / CIM / Windows API,短い実験で「カメラデバイスがWindowsからどう見えているか確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
102,implemented-experimental,Windows & Device Trace Lab,マイクデバイスの存在と状態だけを確認する,PowerShell / WinRT / CIM / Windows API,短い実験で「マイクデバイスの存在と状態だけを確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
103,implemented-experimental,Windows & Device Trace Lab,プリンター一覧とDefault Printerを確認する,PowerShell / WinRT / CIM / Windows API,短い実験で「プリンター一覧とDefault Printerを確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
104,implemented-experimental,Windows & Device Trace Lab,Power Planの現在状態を読み取る,PowerShell / WinRT / CIM / Windows API,短い実験で「Power Planの現在状態を読み取る」を体験し、操作前後の状態やログの差を確認する。,深掘り
105,implemented-experimental,Windows & Device Trace Lab,PCの起動時間とUptimeを表示する,PowerShell / WinRT / CIM / Windows API,短い実験で「PCの起動時間とUptimeを表示する」を体験し、操作前後の状態やログの差を確認する。,深掘り
106,implemented-experimental,Windows & Device Trace Lab,画面の一部をキャプチャして座標とピクセルの関係を見る,PowerShell / WinRT / CIM / Windows API,短い実験で「画面の一部をキャプチャして座標とピクセルの関係を見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
107,implemented-experimental,Network & Wireless Lab,Wi-FiのSSID・BSSID・Channelを同時に見る,PowerShell / netsh / .NET / WinRT,短い実験で「Wi-FiのSSID・BSSID・Channelを同時に見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
108,implemented-experimental,Network & Wireless Lab,Wi-Fi信号強度をリアルタイムの棒グラフで表示する,PowerShell / netsh / .NET / WinRT,短い実験で「Wi-Fi信号強度をリアルタイムの棒グラフで表示する」を体験し、操作前後の状態やログの差を確認する。,深掘り
109,implemented-experimental,Network & Wireless Lab,2.4GHz・5GHz・6GHzの接続情報を比べる,PowerShell / netsh / .NET / WinRT,短い実験で「2.4GHz・5GHz・6GHzの接続情報を比べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
110,implemented-experimental,Network & Wireless Lab,周囲のWi-Fi Channelを一覧にして混雑を可視化する,PowerShell / netsh / .NET / WinRT,短い実験で「周囲のWi-Fi Channelを一覧にして混雑を可視化する」を体験し、操作前後の状態やログの差を確認する。,深掘り
111,implemented-experimental,Network & Wireless Lab,同じSSIDでBSSIDが変わるローミングを記録する,PowerShell / netsh / .NET / WinRT,短い実験で「同じSSIDでBSSIDが変わるローミングを記録する」を体験し、操作前後の状態やログの差を確認する。,深掘り
112,implemented-experimental,Network & Wireless Lab,WindowsにあるNetwork Adapterを全部並べる,PowerShell / netsh / .NET / WinRT,短い実験で「WindowsにあるNetwork Adapterを全部並べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
113,implemented-experimental,Network & Wireless Lab,Link Speedは実効速度と同じ？ まず値を確認する,PowerShell / netsh / .NET / WinRT,短い実験で「Link Speedは実効速度と同じ？ まず値を確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
114,implemented-experimental,Network & Wireless Lab,IPv4アドレスとIPv6アドレスを並べて見る,PowerShell / netsh / .NET / WinRT,短い実験で「IPv4アドレスとIPv6アドレスを並べて見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
115,implemented-experimental,Network & Wireless Lab,Route Tableを読んでパケットの行き先を考える,PowerShell / netsh / .NET / WinRT,短い実験で「Route Tableを読んでパケットの行き先を考える」を体験し、操作前後の状態やログの差を確認する。,深掘り
116,implemented-experimental,Network & Wireless Lab,Default Gatewayは何をしている？ 設定値から確認する,PowerShell / netsh / .NET / WinRT,短い実験で「Default Gatewayは何をしている？ 設定値から確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
117,implemented-experimental,Network & Wireless Lab,ARP／Neighbor Cacheを見て同一LANの相手を理解する,PowerShell / netsh / .NET / WinRT,短い実験で「ARP／Neighbor Cacheを見て同一LANの相手を理解する」を体験し、操作前後の状態やログの差を確認する。,深掘り
118,implemented-experimental,Network & Wireless Lab,DNS名前解決で名前がIPアドレスになる流れを見る,PowerShell / netsh / .NET / WinRT,短い実験で「DNS名前解決で名前がIPアドレスになる流れを見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
119,implemented-experimental,Network & Wireless Lab,DNS Cacheを名前解決の前後で比較する,PowerShell / netsh / .NET / WinRT,短い実験で「DNS Cacheを名前解決の前後で比較する」を体験し、操作前後の状態やログの差を確認する。,深掘り
120,implemented-experimental,Network & Wireless Lab,DHCPでもらったIP・Gateway・DNS情報を確認する,PowerShell / netsh / .NET / WinRT,短い実験で「DHCPでもらったIP・Gateway・DNS情報を確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
121,implemented-experimental,Network & Wireless Lab,localhostへPingしてLoopbackを体験する,PowerShell / netsh / .NET / WinRT,短い実験で「localhostへPingしてLoopbackを体験する」を体験し、操作前後の状態やログの差を確認する。,深掘り
122,implemented-experimental,Network & Wireless Lab,自分で用意したホストへTracerouteして経路を見る,PowerShell / netsh / .NET / WinRT,短い実験で「自分で用意したホストへTracerouteして経路を見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
123,implemented-experimental,Network & Wireless Lab,TCP接続のESTABLISHED・LISTENなどの状態を見る,PowerShell / netsh / .NET / WinRT,短い実験で「TCP接続のESTABLISHED・LISTENなどの状態を見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
124,implemented-experimental,Network & Wireless Lab,自分のPCでListening Portを一覧表示する,PowerShell / netsh / .NET / WinRT,短い実験で「自分のPCでListening Portを一覧表示する」を体験し、操作前後の状態やログの差を確認する。,深掘り
125,implemented-experimental,Network & Wireless Lab,PowerShellだけでlocalhost簡易HTTPサーバーを動かす,PowerShell / netsh / .NET / WinRT,短い実験で「PowerShellだけでlocalhost簡易HTTPサーバーを動かす」を体験し、操作前後の状態やログの差を確認する。,深掘り
126,implemented-experimental,Network & Wireless Lab,TCPとUDPで同じ文字列を送って違いを見る,PowerShell / netsh / .NET / WinRT,短い実験で「TCPとUDPで同じ文字列を送って違いを見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
127,implemented-experimental,Network & Wireless Lab,localhostでHTTPとHTTPSの通信手順の違いを追う,PowerShell / netsh / .NET / WinRT,短い実験で「localhostでHTTPとHTTPSの通信手順の違いを追う」を体験し、操作前後の状態やログの差を確認する。,深掘り
128,implemented-experimental,Network & Wireless Lab,127.0.0.1とlocalhostと::1の違いを試す,PowerShell / netsh / .NET / WinRT,短い実験で「127.0.0.1とlocalhostと::1の違いを試す」を体験し、操作前後の状態やログの差を確認する。,深掘り
129,implemented-experimental,Network & Wireless Lab,保存済みWi-Fi Profileの名前だけを一覧にする,PowerShell / netsh / .NET / WinRT,短い実験で「保存済みWi-Fi Profileの名前だけを一覧にする」を体験し、操作前後の状態やログの差を確認する。,深掘り
130,implemented-experimental,Network & Wireless Lab,MTUを変えずにサイズ違いPingで断片化の概念を学ぶ,PowerShell / netsh / .NET / WinRT,短い実験で「MTUを変えずにサイズ違いPingで断片化の概念を学ぶ」を体験し、操作前後の状態やログの差を確認する。,深掘り
131,implemented-experimental,Network & Wireless Lab,Latency・Packet Loss・Jitterを自分の通信で記録する,PowerShell / netsh / .NET / WinRT,短い実験で「Latency・Packet Loss・Jitterを自分の通信で記録する」を体験し、操作前後の状態やログの差を確認する。,深掘り
132,implemented-experimental,Visual Security Lab,1文字変えるとSHA-256はどれだけ変わる？ Avalanche Effectを見る,PowerShell / .NET Cryptography / Windows Security,短い実験で「1文字変えるとSHA-256はどれだけ変わる？ Avalanche Effectを見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
133,implemented-experimental,Visual Security Lab,Base64は暗号化ではないことをEncode→Decodeで確認する,PowerShell / .NET Cryptography / Windows Security,短い実験で「Base64は暗号化ではないことをEncode→Decodeで確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
134,implemented-experimental,Visual Security Lab,AESで暗号化してから復号して元に戻ることを確かめる,PowerShell / .NET Cryptography / Windows Security,短い実験で「AESで暗号化してから復号して元に戻ることを確かめる」を体験し、操作前後の状態やログの差を確認する。,深掘り
135,implemented-experimental,Visual Security Lab,HMACで1文字の改ざんを検知してみる,PowerShell / .NET Cryptography / Windows Security,短い実験で「HMACで1文字の改ざんを検知してみる」を体験し、操作前後の状態やログの差を確認する。,深掘り
136,implemented-experimental,Visual Security Lab,電子署名した文書を1文字変えて検証NGにしてみる,PowerShell / .NET Cryptography / Windows Security,短い実験で「電子署名した文書を1文字変えて検証NGにしてみる」を体験し、操作前後の状態やログの差を確認する。,深掘り
137,implemented-experimental,Visual Security Lab,同じパスワードでもSaltを変えるとHashが変わることを見る,PowerShell / .NET Cryptography / Windows Security,短い実験で「同じパスワードでもSaltを変えるとHashが変わることを見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
138,implemented-experimental,Visual Security Lab,PBKDF2の反復回数を増やすと処理時間がどう変わる？,PowerShell / .NET Cryptography / Windows Security,短い実験で「PBKDF2の反復回数を増やすと処理時間がどう変わる」を体験し、操作前後の状態やログの差を確認する。,深掘り
139,implemented-experimental,Visual Security Lab,乱数と単純な連番を並べて予測しやすさを考える,PowerShell / .NET Cryptography / Windows Security,短い実験で「乱数と単純な連番を並べて予測しやすさを考える」を体験し、操作前後の状態やログの差を確認する。,深掘り
140,implemented-experimental,Visual Security Lab,ランダムなバイト列をヒストグラムで眺める,PowerShell / .NET Cryptography / Windows Security,短い実験で「ランダムなバイト列をヒストグラムで眺める」を体験し、操作前後の状態やログの差を確認する。,深掘り
141,implemented-experimental,Visual Security Lab,HTTPSサイトのTLS証明書をPowerShellで見る,PowerShell / .NET Cryptography / Windows Security,短い実験で「HTTPSサイトのTLS証明書をPowerShellで見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
142,implemented-experimental,Visual Security Lab,Root CA→Intermediate CA→Server Certificateの鎖をたどる,PowerShell / .NET Cryptography / Windows Security,短い実験で「Root CA→Intermediate CA→Server Certificateの鎖をたどる」を体験し、操作前後の状態やログの差を確認する。,深掘り
143,implemented-experimental,Visual Security Lab,証明書の有効期限を一覧にして期限切れを理解する,PowerShell / .NET Cryptography / Windows Security,短い実験で「証明書の有効期限を一覧にして期限切れを理解する」を体験し、操作前後の状態やログの差を確認する。,深掘り
144,implemented-experimental,Visual Security Lab,localhostでHTTPとHTTPSの見える情報の違いを比べる,PowerShell / .NET Cryptography / Windows Security,短い実験で「localhostでHTTPとHTTPSの見える情報の違いを比べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
145,implemented-experimental,Visual Security Lab,ダウンロード前後のファイルHashで完全性を確認する,PowerShell / .NET Cryptography / Windows Security,短い実験で「ダウンロード前後のファイルHashで完全性を確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
146,implemented-experimental,Visual Security Lab,AllowlistとDenylistを小さな文字列判定で比べる,PowerShell / .NET Cryptography / Windows Security,短い実験で「AllowlistとDenylistを小さな文字列判定で比べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
147,implemented-experimental,Visual Security Lab,管理者権限と標準ユーザー権限の違いを状態表示で見る,PowerShell / .NET Cryptography / Windows Security,短い実験で「管理者権限と標準ユーザー権限の違いを状態表示で見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
148,implemented-experimental,Visual Security Lab,NTFSアクセス権を読み取り専用で一覧表示する,PowerShell / .NET Cryptography / Windows Security,短い実験で「NTFSアクセス権を読み取り専用で一覧表示する」を体験し、操作前後の状態やログの差を確認する。,深掘り
149,implemented-experimental,Visual Security Lab,フォルダーの権限継承を親子で見比べる,PowerShell / .NET Cryptography / Windows Security,短い実験で「フォルダーの権限継承を親子で見比べる」を体験し、操作前後の状態やログの差を確認する。,深掘り
150,implemented-experimental,Visual Security Lab,Windows FirewallのProfile状態とRule件数を確認する,PowerShell / .NET Cryptography / Windows Security,短い実験で「Windows FirewallのProfile状態とRule件数を確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
151,implemented-experimental,Visual Security Lab,Microsoft Defenderの基本状態を読み取り専用で確認する,PowerShell / .NET Cryptography / Windows Security,短い実験で「Microsoft Defenderの基本状態を読み取り専用で確認する」を体験し、操作前後の状態やログの差を確認する。,はじめて
152,implemented-experimental,Visual Security Lab,ダウンロードファイルのMark of the Webを自分のファイルで見る,PowerShell / .NET Cryptography / Windows Security,短い実験で「ダウンロードファイルのMark of the Webを自分のファイルで見る」を体験し、操作前後の状態やログの差を確認する。,深掘り
153,implemented-experimental,Visual Security Lab,Alternate Data Streamに小さなテスト文字列を保存して仕組みを知る,PowerShell / .NET Cryptography / Windows Security,短い実験で「Alternate Data Streamに小さなテスト文字列を保存して仕組みを知る」を体験し、操作前後の状態やログの差を確認する。,深掘り
154,implemented-experimental,Visual Security Lab,PowerShellでAuthenticode署名の有無を確認する,PowerShell / .NET Cryptography / Windows Security,短い実験で「PowerShellでAuthenticode署名の有無を確認する」を体験し、操作前後の状態やログの差を確認する。,深掘り
155,implemented-experimental,Visual Security Lab,DPAPIで自分のテスト文字列を暗号化・復号する,PowerShell / .NET Cryptography / Windows Security,短い実験で「DPAPIで自分のテスト文字列を暗号化・復号する」を体験し、操作前後の状態やログの差を確認する。,深掘り
156,implemented-experimental,Visual Security Lab,パスワード長で組み合わせ数がどう増えるか可視化する,PowerShell / .NET Cryptography / Windows Security,短い実験で「パスワード長で組み合わせ数がどう増えるか可視化する」を体験し、操作前後の状態やログの差を確認する。,深掘り
